1142,1137,"pneumococcal vaccine","fever","60 very common","","","","","",""
946,23,"minoxidil","abnormal ECG","40 poss","","","","","",""
946,1531,"minoxidil","hypotension","40 poss","","","","","",""
946,3806,"minoxidil","water retention","40 poss","","","","","",""
946,3117,"minoxidil","salt retention","40 poss","","","","","",""
946,3436,"minoxidil","tachycardia","40 poss","","","","","",""
946,2963,"minoxidil","rash","40 poss","","","","","",""
947,2325,"mirabegron","nasopharyngitis","40 poss","","","","","",""
947,1234,"mirabegron","GI upset","40 poss","","","","","",""
947,1693,"mirabegron","incr LFTs","40 poss","","","","","",""
947,1163,"mirabegron","flu-like illness","40 poss","","","","","",""
947,1476,"mirabegron","hypertension","40 poss","","","","","",""
947,2842,"mirabegron","pruritus","40 poss","","","","","",""
947,1316,"mirabegron","headache","40 poss","","","","","",""
947,2345,"mirabegron","nephrolithiasis","40 poss","","","","","",""
947,3695,"mirabegron","UTI","40 poss","","","","","",""
947,2963,"mirabegron","rash","40 poss","","","","","",""
947,3670,"mirabegron","urinary retention","40 poss","","","","","",""
947,12,"mirabegron","abdominal pain","40 poss","","","","","",""
947,205,"mirabegron","angioedema","40 poss","","","Y","","",""
947,257,"mirabegron","arthralgia","40 poss","","","","","",""
947,3436,"mirabegron","tachycardia","40 poss","","","","","",""
947,304,"mirabegron","back pain","40 poss","","","","","",""
947,3681,"mirabegron","URTI","40 poss","","","","","",""
947,353,"mirabegron","bladder pain","40 poss","","","","","",""
947,2584,"mirabegron","palpitations","40 poss","","","","","",""
947,1116,"mirabegron","fatigue","40 poss","","","","","",""
947,1241,"mirabegron","glaucoma","40 poss","","","","","",""
947,3706,"mirabegron","vaginal infection","40 poss","","","","","",""
947,890,"mirabegron","dizziness","40 poss","","","","","",""
948,2944,"mirtazapine","raised CK","40 poss","","","","","",""
948,3389,"mirtazapine","suicidality","40 poss","","","","","",""
948,2963,"mirtazapine","rash","40 poss","","","","","",""
948,3285,"mirtazapine","skin reaction","40 poss","","","","","",""
948,3149,"mirtazapine","sedation","40 poss","","","","","",""
948,2920,"mirtazapine","QT prolongation","40 poss","","","","","",""
948,2585,"mirtazapine","pancreatitis","40 poss","","","","","",""
948,2460,"mirtazapine","oedema","40 poss","","","","","",""
948,1613,"mirtazapine","incr appetite","40 poss","","","","","",""
948,1519,"mirtazapine","hyponatraemia","40 poss","","","","","",""
948,1487,"mirtazapine","hypertriglyceridaemia","40 poss","","","","","",""
948,1316,"mirtazapine","headache","40 poss","","","","","",""
948,1307,"mirtazapine","hallucination","40 poss","","","","","",""
948,1234,"mirtazapine","GI upset","40 poss","","","","","",""
948,908,"mirtazapine","dry mouth","40 poss","","","","","",""
948,890,"mirtazapine","dizziness","40 poss","","","","","",""
948,304,"mirtazapine","back pain","40 poss","","","","","",""
948,133,"mirtazapine","akathisia","40 poss","","","","","",""
948,3810,"mirtazapine","weight gain","40 poss","","","","","",""
948,2949,"mirtazapine","raised LFTs","40 poss","","","","","",""
948,899,"mirtazapine","drowsiness","40 poss","","","","","",""
949,1485,"misoprostol","hypertonus","40 poss","","","","","",""
949,2777,"misoprostol","postpartum haemorrhage","40 poss","","","","","",""
949,2327,"misoprostol","nausea","40 poss","","","","","",""
949,2129,"misoprostol","meconium in amniotic fluid","40 poss","","","","","",""
949,2963,"misoprostol","rash","40 poss","","","","","",""
949,45,"misoprostol","Abnormal uterine contraction","40 poss","","","","","",""
949,1751,"misoprostol","incr risk postpartum DIC","40 poss","","","","","",""
949,1635,"misoprostol","incr BP","40 poss","","","","","",""
949,3037,"misoprostol","respiratory distress","40 poss","","","","","",""
949,1543,"misoprostol","hypoxic-ischaemic encephalopathy","40 poss","","","","","",""
949,3437,"misoprostol","tachypnoea","40 poss","","","","","",""
949,2795,"misoprostol","premature placental separation","40 poss","","","","","",""
949,3692,"misoprostol","uterine rupture","40 poss","","","","","",""
949,3796,"misoprostol","vomiting","40 poss","","","","","",""
949,215,"misoprostol","antepartum","40 poss","","","","","",""
949,1134,"misoprostol","fetal acidosis","40 poss","","","","","",""
949,231,"misoprostol","Apgar score low","40 poss","","","","","",""
949,33,"misoprostol","abnormal labour affecting fetus","40 poss","","","","","",""
949,1136,"misoprostol","fetal HR disorder","40 poss","","","","","",""
952,255,"mitozantrone","arrhythmia","40 poss","","","","","",""
952,374,"mitozantrone","blue/ green urine discolouration","40 poss","","","","","",""
952,2279,"mitozantrone","myeloid leukaemia","40 poss","","","","","",""
952,2278,"mitozantrone","myelodysplastic syndrome","40 poss","","","","","",""
952,2231,"mitozantrone","mucositis","40 poss","","","","","",""
952,229,"mitozantrone","anxiety","40 poss","","","","","",""
952,1873,"mitozantrone","interstitial pneumonitis","40 poss","","","","","",""
952,1798,"mitozantrone","increase urea ","40 poss","","","","","",""
952,1764,"mitozantrone","incr serum creatinine","40 poss","","","","","",""
952,375,"mitozantrone","bluish sclera discolouration","40 poss","","","","","",""
952,1116,"mitozantrone","fatigue","40 poss","","","","","",""
952,1137,"mitozantrone","fever","40 poss","","","","","",""
952,480,"mitozantrone","cardiotoxicity","40 poss","","","","","",""
952,517,"mitozantrone","chest pain","40 poss","","","","","",""
952,2282,"mitozantrone","myelosuppression","40 poss","","","","","",""
952,154,"mitozantrone","alopecia","40 poss","","","","","",""
952,519,"mitozantrone","CHF","40 poss","","","","","",""
952,937,"mitozantrone","dyspnoea","40 poss","","","","","",""
952,149,"mitozantrone","allergic reaction","40 poss","","","","","",""
952,753,"mitozantrone","decr LVEF","40 poss","","","","","",""
952,602,"mitozantrone","confusion","40 poss","","","","","",""
952,1234,"mitozantrone","GI upset","40 poss","","","","","",""
952,2691,"mitozantrone","phlebitis","40 poss","","","","","",""
952,3807,"mitozantrone","weakness","40 poss","","","","","",""
952,3359,"mitozantrone","stomatitis","40 poss","","","","","",""
952,3323,"mitozantrone","somnolence","40 poss","","","","","",""
952,3138,"mitozantrone","sec acute promyelocytic","40 poss","","","","","",""
952,2949,"mitozantrone","raised LFTs","40 poss","","","","","",""
952,2606,"mitozantrone","paraesthesia","40 poss","","","","","",""
953,3577,"mivacurium chloride","transient hypotension","40 poss","","","","","",""
953,423,"mivacurium chloride","bronchospasm","40 poss","","","","","",""
953,3682,"mivacurium chloride","urticaria","40 poss","","","","","",""
953,1399,"mivacurium chloride","Histamine release effects","40 poss","","","","","",""
953,3436,"mivacurium chloride","tachycardia","40 poss","","","","","",""
953,1031,"mivacurium chloride","erythema","40 poss","","","","","",""
953,1164,"mivacurium chloride","flushing","40 poss","","","","","",""
954,3774,"moclobemide","visual disturbance","40 poss","","","","","",""
954,908,"moclobemide","dry mouth","40 poss","","","","","",""
954,602,"moclobemide","confusion","40 poss","","","","","",""
954,1164,"moclobemide","flushing","40 poss","","","","","",""
954,2140,"moclobemide","memory impairment","40 poss","","","","","",""
954,2606,"moclobemide","paraesthesia","40 poss","","","","","",""
954,399,"moclobemide","bradycardia","40 poss","","","","","",""
954,3055,"moclobemide","restlessness","40 poss","","","","","",""
954,2110,"moclobemide","malaise","40 poss","","","","","",""
954,941,"moclobemide","dysuria","40 poss","","","","","",""
954,890,"moclobemide","dizziness","40 poss","","","","","",""
954,126,"moclobemide","agitation","40 poss","","","","","",""
954,1239,"moclobemide","gingivitis","40 poss","","","","","",""
954,3466,"moclobemide","tenesmus","40 poss","","","","","",""
954,2690,"moclobemide","phlebetic symptoms","40 poss","","","","","",""
954,1531,"moclobemide","hypotension","40 poss","","","","","",""
954,3296,"moclobemide","sleep disorder","40 poss","","","","","",""
954,1234,"moclobemide","GI upset","40 poss","","","","","",""
954,3359,"moclobemide","stomatitis","40 poss","","","","","",""
954,2842,"moclobemide","pruritus","40 poss","","","","","",""
954,1307,"moclobemide","hallucination","40 poss","","","","","",""
954,2963,"moclobemide","rash","40 poss","","","","","",""
954,482,"moclobemide","Cardiovascular effects","40 poss","","","","","",""
954,2819,"moclobemide","prolonged menstruation","40 poss","","","","","",""
954,1316,"moclobemide","headache","40 poss","","","","","",""
954,197,"moclobemide","angina","40 poss","","","","","",""
954,229,"moclobemide","anxiety","40 poss","","","","","",""
954,3389,"moclobemide","suicidality","40 poss","","","","","",""
954,1476,"moclobemide","hypertension","40 poss","","","","","",""
954,1915,"moclobemide","irritability","40 poss","","","","","",""
955,212,"modafinil","anorexia","40 poss","","","","","",""
955,304,"modafinil","back pain","40 poss","","","","","",""
955,229,"modafinil","anxiety","40 poss","","","","","",""
955,2864,"modafinil","psychiatric symptom emergence","40 poss","","","Y","","",""
955,517,"modafinil","chest pain","40 poss","","","","","",""
955,3723,"modafinil","vasodilatation","40 poss","","","","","",""
955,3294,"modafinil","SLE exacerbation","40 poss","","","Y","","",""
955,2963,"modafinil","rash","40 poss","","","Y","","",""
955,2606,"modafinil","paraesthesia","40 poss","","","","","",""
955,2358,"modafinil","nervousness","40 poss","","","","","",""
955,1862,"modafinil","insomnia","40 poss","","","","","",""
955,1476,"modafinil","hypertension","40 poss","","","","","",""
955,1316,"modafinil","headache","40 poss","","","","","",""
955,1234,"modafinil","GI upset","40 poss","","","","","",""
955,908,"modafinil","dry mouth","40 poss","","","","","",""
955,890,"modafinil","dizziness","40 poss","","","","","",""
955,3096,"modafinil","Rhinitis","40 poss","","","","","",""
956,149,"molybdenum mo-99","allergic reaction","40 poss","","","","","",""
956,190,"molybdenum mo-99","anaphylactic reaction","40 poss","","","","","",""
957,1412,"mometasone furoate","HPA axis suppression","40 poss","Children","","","","",""
957,3357,"mometasone furoate","stinging sensation","40 poss","","","","","",""
957,3530,"mometasone furoate","tingling","40 poss","","","","","",""
957,2842,"mometasone furoate","pruritus","40 poss","","","","","",""
957,435,"mometasone furoate","burning sensation","40 poss","","","","","",""
957,65,"mometasone furoate","acneiform eruption","40 poss","","","","","",""
957,3260,"mometasone furoate","skin atrophy","40 poss","","","","","",""
958,3389,"montelukast","suicidality","40 poss","","","","","",""
958,2140,"montelukast","memory impairment","40 poss","","","","","",""
958,2268,"montelukast","myalgia","40 poss","","","","","",""
958,2379,"montelukast","neuropsychiatric event","40 poss","","","","","",""
958,2460,"montelukast","oedema","40 poss","","","","","",""
958,2583,"montelukast","palpitation","40 poss","","","","","",""
958,2869,"montelukast","psychomotor hyperactivity","40 poss","","","","","",""
958,3321,"montelukast","somnambulism","40 poss","","","","","",""
958,1619,"montelukast","incr bleeding","40 poss","","","","","",""
958,3485,"montelukast","thirst","40 poss","","","","","",""
958,3494,"montelukast","thrombocytopenia","40 poss","","","","","",""
958,3681,"montelukast","URTI","40 poss","","","","","",""
958,873,"montelukast","disorientation","40 poss","","","","","",""
958,2949,"montelukast","raised LFTs","40 poss","","","","","",""
958,829,"montelukast","depression","40 poss","","","","","",""
958,190,"montelukast","anaphylactic reaction","40 poss","","","","","",""
958,257,"montelukast","arthralgia","40 poss","","","","","",""
958,270,"montelukast","asthenia","40 poss","","","","","",""
958,1006,"montelukast","enuresis","40 poss","Children","","","","",""
958,822,"montelukast","dental pain","40 poss","","","","","",""
958,1467,"montelukast","hypersensitivity","40 poss","","","","","",""
958,890,"montelukast","dizziness","40 poss","","","","","",""
958,1021,"montelukast","epistaxis","40 poss","","","","","",""
958,1032,"montelukast","erythema multiforme","40 poss","","","","","",""
958,1116,"montelukast","fatigue","40 poss","","","","","",""
958,1137,"montelukast","fever","40 poss","","","","","",""
958,1234,"montelukast","GI upset","40 poss","","","","","",""
958,1407,"montelukast","hostility","40 poss","","","","","",""
959,1280,"moroctocog alfa rch (cho)","haematoma","40 poss","","","","","",""
959,2914,"moroctocog alfa rch (cho)","pyrexia","40 poss","","","","","",""
959,1693,"moroctocog alfa rch (cho)","incr LFTs","40 poss","","","","","",""
959,1467,"moroctocog alfa rch (cho)","hypersensitivity","40 poss","","","","","",""
959,1316,"moroctocog alfa rch (cho)","headache","40 poss","","","","","",""
959,1294,"moroctocog alfa rch (cho)","haemorrhage","40 poss","","","","","",""
959,2268,"moroctocog alfa rch (cho)","myalgia","40 poss","","","","","",""
959,257,"moroctocog alfa rch (cho)","arthralgia","40 poss","","","","","",""
959,212,"moroctocog alfa rch (cho)","anorexia","40 poss","","","","","",""
959,1234,"moroctocog alfa rch (cho)","GI upset","40 poss","","","","","",""
959,190,"moroctocog alfa rch (cho)","anaphylactic reaction","40 poss","","","","","",""
959,270,"moroctocog alfa rch (cho)","asthenia","40 poss","","","","","",""
959,661,"moroctocog alfa rch (cho)","cough","40 poss","","","","","",""
959,890,"moroctocog alfa rch (cho)","dizziness","40 poss","","","","","",""
959,1097,"moroctocog alfa rch (cho)","factor VIII inhibition","40 poss","","","","","",""
959,1164,"moroctocog alfa rch (cho)","flushing","40 poss","","","","","",""
959,2963,"moroctocog alfa rch (cho)","rash","40 poss","","","","","",""
960,3238,"morphine hydrochloride","SIADH","40 poss","","","","","",""
960,2842,"morphine hydrochloride","pruritus","40 poss","","","","","",""
960,2963,"morphine hydrochloride","rash","40 poss","","","","","",""
960,3032,"morphine hydrochloride","respiratory depression","40 poss","","","","","",""
960,3149,"morphine hydrochloride","sedation","40 poss","","","","","",""
960,3232,"morphine hydrochloride","sexual dysfunction","40 poss","","","","","",""
960,3402,"morphine hydrochloride","sweating","40 poss","","","","","",""
960,3416,"morphine hydrochloride","syncope","40 poss","","","","","",""
960,3436,"morphine hydrochloride","tachycardia","40 poss","","","","","",""
960,2784,"morphine hydrochloride","Postural hypotension","40 poss","","","","","",""
960,3774,"morphine hydrochloride","visual disturbance","40 poss","","","","","",""
960,3670,"morphine hydrochloride","urinary retention","40 poss","","","","","",""
960,3540,"morphine hydrochloride","tolerance","40 poss","","","","","",""
960,602,"morphine hydrochloride","confusion","40 poss","","","","","",""
960,2460,"morphine hydrochloride","oedema","40 poss","","","","","",""
960,3819,"morphine hydrochloride","withdrawal syndrome","40 poss","","","","","",""
960,399,"morphine hydrochloride","bradycardia","40 poss","","","","","",""
960,544,"morphine hydrochloride","circulatory depression","40 poss","","","","","",""
960,235,"morphine hydrochloride","apnoea","40 poss","","","","","",""
960,802,"morphine hydrochloride","delayed gastric emptying","40 poss","","","","","",""
960,823,"morphine hydrochloride","dependence","40 poss","","","","","",""
960,890,"morphine hydrochloride","dizziness","40 poss","","","","","",""
960,936,"morphine hydrochloride","dysphoria","40 poss","","","","","",""
960,1037,"morphine hydrochloride","euphoria","40 poss","","","","","",""
960,1090,"morphine hydrochloride","facial flushing","40 poss","","","","","",""
960,1234,"morphine hydrochloride","GI upset","40 poss","","","","","",""
960,1444,"morphine hydrochloride","hyperglycaemia","40 poss","","","","","",""
960,2019,"morphine hydrochloride","lightheadedness","40 poss","","","","","",""
960,450,"morphine hydrochloride","cardiac arrest","40 poss","","","","","",""
963,3295,"moxifloxacin","sleep","40 poss","","","","","",""
963,2920,"moxifloxacin","QT prolongation","40 poss","","","","","",""
963,3150,"moxifloxacin","seizure","40 poss","","","","","",""
963,3162,"moxifloxacin","sensorimotor polyneuropathy","40 poss","","","","","",""
963,3168,"moxifloxacin","sensory neuropathy","40 poss","","","","","",""
963,3285,"moxifloxacin","skin reaction","40 poss","","","","","",""
963,3323,"moxifloxacin","somnolence","40 poss","","","","","",""
963,3397,"moxifloxacin","superinfection","40 poss","","","","","",""
963,3443,"moxifloxacin","taste disturbance","40 poss","","","","","",""
963,3462,"moxifloxacin","tendon inflammation","40 poss","","","","","",""
963,3550,"moxifloxacin","torsades de pointes","40 poss","","","","","",""
963,2872,"moxifloxacin","psychosis","40 poss","","","","","",""
963,3766,"moxifloxacin","vision disturbance","40 poss","","","","","",""
963,1180,"moxifloxacin","fulminant hepatitis","40 poss","","","","","",""
963,3692,"moxifloxacin","uterine rupture","40 poss","","","","","",""
963,925,"moxifloxacin","dysglycaemia","40 poss","","","","","",""
963,126,"moxifloxacin","agitation","40 poss","","","","","",""
963,257,"moxifloxacin","arthralgia","40 poss","","","","","",""
963,368,"moxifloxacin","blood dyscrasia","40 poss","","","","","",""
963,561,"moxifloxacin","CNS disturbance","40 poss","","","","","",""
963,1316,"moxifloxacin","headache","40 poss","","","","","",""
963,890,"moxifloxacin","dizziness","40 poss","","","","","",""
963,2852,"moxifloxacin","Pseudomembranous colitis","40 poss","","","","","",""
963,937,"moxifloxacin","dyspnoea","40 poss","","","","","",""
963,975,"moxifloxacin","elevated LFTs","40 poss","","","","","",""
963,1234,"moxifloxacin","GI upset","40 poss","","","","","",""
963,1359,"moxifloxacin","hepatitis","40 poss","","","","","",""
963,1454,"moxifloxacin","hyperlipidaemia","40 poss","","","","","",""
963,1467,"moxifloxacin","hypersensitivity","40 poss","","","","","",""
963,2272,"moxifloxacin","mycotic","40 poss","","","","","",""
963,829,"moxifloxacin","depression","40 poss","","","","","",""
964,1316,"moxonidine","headache","40 poss","","","","","",""
964,3297,"moxonidine","sleep disturbance","40 poss","","","","","",""
964,3323,"moxonidine","somnolence","40 poss","","","","","",""
964,1234,"moxonidine","GI upset","40 poss","","","","","",""
964,3723,"moxonidine","vasodilatation","40 poss","","","","","",""
964,270,"moxonidine","asthenia","40 poss","","","","","",""
964,229,"moxonidine","anxiety","40 poss","","","","","",""
964,890,"moxonidine","dizziness","40 poss","","","","","",""
964,908,"moxonidine","dry mouth","40 poss","","","","","",""
965,3158,"mupirocin","sensitivity","40 poss","","","Y","","",""
965,3530,"mupirocin","tingling","40 poss","","","","","",""
965,3397,"mupirocin","superinfection","40 poss","","","","","",""
965,3252,"mupirocin","sinusitis","40 poss","","","","","",""
965,3096,"mupirocin","Rhinitis","40 poss","","","","","",""
965,2852,"mupirocin","Pseudomembranous colitis","40 poss","","","","","",""
965,616,"mupirocin","conjunctivitis","40 poss","","","","","",""
965,3357,"mupirocin","stinging sensation","40 poss","","","","","",""
965,435,"mupirocin","burning sensation","40 poss","","","","","",""
965,2770,"mupirocin","postnasal drip","40 poss","","","","","",""
965,1092,"mupirocin","facial pain over maxillae","40 poss","","","","","",""
965,1916,"mupirocin","irritation","40 poss","","","","","",""
965,1927,"mupirocin","itching","40 poss","","","","","",""
965,2058,"mupirocin","local soreness","40 poss","","","","","",""
966,2585,"mycophenolate mofetil","pancreatitis","40 poss","","","","","",""
966,1981,"mycophenolate mofetil","latent virus reactivation","40 poss","","","","","",""
966,2096,"mycophenolate mofetil","lymphoma","40 poss","","","","","",""
966,2099,"mycophenolate mofetil","lymphoproliferative disease","40 poss","","","","","",""
966,2163,"mycophenolate mofetil","metabolic disorder","40 poss","","","","","",""
966,2387,"mycophenolate mofetil","Neutropenia","40 poss","","","","","",""
966,2494,"mycophenolate mofetil","opportunistic infection","40 poss","","","","","",""
966,2078,"mycophenolate mofetil","lung disease","40 poss","","","","","",""
966,2905,"mycophenolate mofetil","pure red cell aplasia","40 poss","","","","","",""
966,3014,"mycophenolate mofetil","renal effects","40 poss","","","","","",""
966,3027,"mycophenolate mofetil","reproductive system disorder","40 poss","","","","","",""
966,3169,"mycophenolate mofetil","sepsis","40 poss","","","","","",""
966,3264,"mycophenolate mofetil","skin cancer","40 poss","","","","","",""
966,3335,"mycophenolate mofetil","spontaneous abortion esp 1st trimester","40 poss","","","","","",""
966,3506,"mycophenolate mofetil","thrombosis","40 poss","","","","","",""
966,1936,"mycophenolate mofetil","JC virus assoc PML","40 poss","","","","","",""
966,1222,"mycophenolate mofetil","GI bleed","40 poss","","","","","",""
966,3774,"mycophenolate mofetil","visual disturbance","40 poss","","","","","",""
966,605,"mycophenolate mofetil","congenital malformations","40 poss","","","","","",""
966,345,"mycophenolate mofetil","BK virus assoc nephropathy","40 poss","","","","","",""
966,368,"mycophenolate mofetil","blood dyscrasia","40 poss","","","","","",""
966,383,"mycophenolate mofetil","bone marrow suppression","40 poss","","","","","",""
966,386,"mycophenolate mofetil","bone necrosis","40 poss","","","","","",""
966,420,"mycophenolate mofetil","bronchiectasis","40 poss","","","","","",""
966,1233,"mycophenolate mofetil","GI ulcer","40 poss","","","","","",""
966,561,"mycophenolate mofetil","CNS disturbance","40 poss","","","","","",""
966,1810,"mycophenolate mofetil","infection","40 poss","","","","","",""
966,701,"mycophenolate mofetil","deafness","40 poss","","","","","",""
966,1137,"mycophenolate mofetil","fever","40 poss","","","","","",""
966,1163,"mycophenolate mofetil","flu-like illness","40 poss","","","","","",""
966,1232,"mycophenolate mofetil","GI perforation","40 poss","","","","","",""
966,1234,"mycophenolate mofetil","GI upset","40 poss","","","","","",""
966,1339,"mycophenolate mofetil","hepatic damage","40 poss","","","","","",""
966,1511,"mycophenolate mofetil","hypogammaglobulinaemia","40 poss","","","","","",""
966,1697,"mycophenolate mofetil","Incr malignancy risk","40 poss","","","","","",""
966,482,"mycophenolate mofetil","Cardiovascular effects","40 poss","","","","","",""
968,3494,"nadroparin calcium","thrombocytopenia","40 poss","","","Y","","",""
968,1693,"nadroparin calcium","incr LFTs","40 poss","","","","","",""
968,3498,"nadroparin calcium","thrombocytosis","40 poss","","","","","",""
968,2963,"nadroparin calcium","rash","40 poss","","","","","",""
968,2842,"nadroparin calcium","pruritus","40 poss","","","","","",""
968,2800,"nadroparin calcium","priapism","40 poss","","","","","",""
968,1846,"nadroparin calcium","inj site haematoma","40 poss","","","","","",""
968,3682,"nadroparin calcium","urticaria","40 poss","","","","","",""
968,1449,"nadroparin calcium","hyperkalaemia","40 poss","","","","","",""
968,1332,"nadroparin calcium","heparin induced","40 poss","","","Y","","",""
968,1294,"nadroparin calcium","haemorrhage","40 poss","","","","","",""
968,1031,"nadroparin calcium","erythema","40 poss","","","","","",""
968,680,"nadroparin calcium","cutaneous necrosis","40 poss","","","Y","","",""
968,441,"nadroparin calcium","calcinosis","40 poss","","","","","",""
968,245,"nadroparin calcium","Applic site reaction","40 poss","","","","","",""
968,1467,"nadroparin calcium","hypersensitivity","40 poss","","","Y","","",""
969,1862,"nafarelin acetate","insomnia","40 poss","","","","","",""
969,2012,"nafarelin acetate","libido changes","40 poss","","","","","",""
969,2268,"nafarelin acetate","myalgia","40 poss","","","","","",""
969,2317,"nafarelin acetate","nasal mucosa irritation","40 poss","","","","","",""
969,2460,"nafarelin acetate","oedema","40 poss","","","","","",""
969,2558,"nafarelin acetate","ovarian hyperstimulation syndrome","40 poss","","","","","",""
969,3136,"nafarelin acetate","seborrhoea","40 poss","","","","","",""
969,3810,"nafarelin acetate","weight gain","40 poss","","","","","",""
969,1410,"nafarelin acetate","hot flush","40 poss","","","","","",""
969,3704,"nafarelin acetate","vaginal dryness","40 poss","","","","","",""
969,713,"nafarelin acetate","decr breast size","40 poss","","","","","",""
969,62,"nafarelin acetate","acne","40 poss","","","","","",""
969,1806,"nafarelin acetate","induction of menopausal state","40 poss","","","","","","Prolonged use"
969,689,"nafarelin acetate","cysts","40 poss","","","","","",""
969,1839,"nafarelin acetate","initial flare-up of endometriotic symptoms","40 poss","","","","","",""
969,791,"nafarelin acetate","decreased BMD","40 poss","","","","","",""
969,985,"nafarelin acetate","emotional lability","40 poss","","","","","",""
969,1316,"nafarelin acetate","headache","40 poss","","","","","",""
969,1398,"nafarelin acetate","hirsutism","40 poss","","","","","",""
969,1510,"nafarelin acetate","hypoestrogenism","40 poss","","","","","",""
969,395,"nafarelin acetate","BP change","40 poss","","","","","",""
970,2358,"naloxone hydrochloride","nervousness","40 poss","","","","","",""
970,3753,"naloxone hydrochloride","violent behaviour","40 poss","","","","","",""
970,3150,"naloxone hydrochloride","seizure","40 poss","","","","","",""
970,3055,"naloxone hydrochloride","restlessness","40 poss","","","","","",""
970,2492,"naloxone hydrochloride","opioid withdrawal symptoms","40 poss","","","","","",""
970,1426,"naloxone hydrochloride","hyper/ hypotension","40 poss","","","","","",""
970,1234,"naloxone hydrochloride","GI upset","40 poss","","","","","",""
970,1047,"naloxone hydrochloride","excitability","40 poss","","","","","",""
970,937,"naloxone hydrochloride","dyspnoea","40 poss","","","","","",""
970,450,"naloxone hydrochloride","cardiac arrest","40 poss","","","","","",""
970,255,"naloxone hydrochloride","arrhythmia","40 poss","","","","","",""
970,1915,"naloxone hydrochloride","irritability","40 poss","","","","","",""
970,2895,"naloxone hydrochloride","pulmonary oedema","40 poss","","","","","",""
971,3386,"naltrexone hydrochloride","suicidal ideation","40 poss","","","","","",""
971,1862,"naltrexone hydrochloride","insomnia","40 poss","","","","","",""
971,1942,"naltrexone hydrochloride","joint pain","40 poss","","","","","",""
971,2358,"naltrexone hydrochloride","nervousness","40 poss","","","","","",""
971,1693,"naltrexone hydrochloride","incr LFTs","40 poss","","","","","",""
971,3323,"naltrexone hydrochloride","somnolence","40 poss","","","","","",""
971,2245,"naltrexone hydrochloride","muscle pain","40 poss","","","","","",""
971,3032,"naltrexone hydrochloride","respiratory depression","40 poss","","","","","",""
971,229,"naltrexone hydrochloride","anxiety","40 poss","","","","","",""
971,2828,"naltrexone hydrochloride","prolonged respiratory depression","40 poss","","","","","",""
971,1650,"naltrexone hydrochloride","incr cramps","40 poss","","","","","",""
971,12,"naltrexone hydrochloride","abdominal pain","40 poss","","","","","",""
971,282,"naltrexone hydrochloride","attempted suicide","40 poss","","","","","",""
971,829,"naltrexone hydrochloride","depression","40 poss","","","","","",""
971,890,"naltrexone hydrochloride","dizziness","40 poss","","","","","",""
971,1116,"naltrexone hydrochloride","fatigue","40 poss","","","","","",""
971,1234,"naltrexone hydrochloride","GI upset","40 poss","","","","","",""
971,1316,"naltrexone hydrochloride","headache","40 poss","","","","","",""
972,3806,"nandrolone decanoate","water retention","40 poss","","","","","",""
972,2792,"nandrolone decanoate","precocious sexual development","40 poss","Children","","","","",""
972,2327,"nandrolone decanoate","nausea","40 poss","","","","","",""
972,2460,"nandrolone decanoate","oedema","40 poss","","","","","",""
972,2476,"nandrolone decanoate","oligomenorrhoea","40 poss","","","","","",""
972,2477,"nandrolone decanoate","oligospermia","40 poss","","","","","",""
972,1836,"nandrolone decanoate","inhibited spermatogenesis","40 poss","","","","","",""
972,2793,"nandrolone decanoate","premature epiphyseal closure","40 poss","Children","","","","",""
972,2800,"nandrolone decanoate","priapism","40 poss","","","","","",""
972,2882,"nandrolone decanoate","pubic hair growth","40 poss","","","","","",""
972,3761,"nandrolone decanoate","virilisation","40 poss","","","","","",""
972,351,"nandrolone decanoate","bladder irritability","40 poss","","","","","",""
972,1714,"nandrolone decanoate","incr penile size","40 poss","","","","","",""
972,3470,"nandrolone decanoate","testicular atrophy","40 poss","","","","","",""
972,991,"nandrolone decanoate","endocrine disorder","40 poss","","","","","",""
972,1666,"nandrolone decanoate","incr Hb","40 poss","","","","","",""
972,553,"nandrolone decanoate","clitoral hypertrophy","40 poss","","","","","",""
972,397,"nandrolone decanoate","BPH","40 poss","","","","","",""
972,177,"nandrolone decanoate","amenorrhoea","40 poss","","","","","",""
972,782,"nandrolone decanoate","decr urine flow","40 poss","","","","","",""
972,1010,"nandrolone decanoate","epididymitis","40 poss","","","","","",""
972,1025,"nandrolone decanoate","erectile frequency","40 poss","","","","","",""
972,1270,"nandrolone decanoate","gynaecomastia","40 poss","","","","","",""
972,1454,"nandrolone decanoate","hyperlipidaemia","40 poss","","","","","",""
972,1476,"nandrolone decanoate","hypertension","40 poss","","","","","",""
972,1595,"nandrolone decanoate","impotence","40 poss","","","","","",""
972,1656,"nandrolone decanoate","incr decr HDL ","40 poss","","","","","",""
972,775,"nandrolone decanoate","decr sperm count","40 poss","","","","","",""
973,1476,"naphazoline hydrochloride","hypertension","40 poss","","","","","",""
973,1686,"naphazoline hydrochloride","incr IOP","40 poss","","","","","",""
973,3426,"naphazoline hydrochloride","systemic effects","40 poss","","","","","",""
973,2904,"naphazoline hydrochloride","Pupillary dilation","40 poss","","","","","",""
973,2449,"naphazoline hydrochloride","ocular hyperaemia","40 poss","","","","","",""
973,1071,"naphazoline hydrochloride","eye oedema","40 poss","","","","","",""
973,899,"naphazoline hydrochloride","drowsiness","40 poss","","","","","",""
